ROI,FitType,Model,AdjR2,R2,RMSE,SSE,DFE,Winner
L_CA12_NA,Linear,f(x)=-0.002533*x + 0.001049,-0.714279368616455,0.142860315691773,0.00877584133457469,7.70153911296297e-05,1,Power2
L_CA12_NA,Power2,f(x)=-8.16e-05*x^(4.31),-0.0747610117224773,0.462619494138761,0.00694870565047613,4.82845102169589e-05,1,Power2
L_DGCA3_NA,Linear,f(x)=0.009302*x + -0.03624,0.743976215079084,0.871988107539542,0.00504038308510669,2.54054616446297e-05,1,Linear
L_DGCA3_NA,Power2,f(x)=-0.02624*x^(-0.7494),0.32414689907272,0.66207344953636,0.00818935210103446,6.70654878347175e-05,1,Linear
L_HEADCA1_NA,Linear,f(x)=0.01903*x + -0.04966,0.652986773119582,0.826493386559791,0.0123291936299431,0.00015200901556463,1,Linear
L_HEADCA1_NA,Power2,f(x)=-0.02709*x^(-1.681),-0.0431532689788789,0.478423365510561,0.0213764567522941,0.000456952903282699,1,Linear
L_HEADDGCA23_NA,Linear,f(x)=0.02509*x + -0.1119,0.904780452361457,0.952390226180729,0.00793412861757265,6.29503969201853e-05,1,Linear
L_HEADDGCA23_NA,Power2,f(x)=-0.08648*x^(-0.6286),0.609616992300961,0.804808496150481,0.0160650333817626,0.000258085297557146,1,Linear
L_HEADSUB_NA,Linear,f(x)=0.02932*x + -0.07591,0.353554940015027,0.676777470007514,0.0286520353365199,0.000820939128925184,1,Linear
L_HEADSUB_NA,Power2,f(x)=-0.03864*x^(-1.535),-0.351040997679931,0.324479501160034,0.0414213197021734,0.00171572572586966,1,Linear
L_SUB_NA,Linear,f(x)=-0.006726*x + -0.006477,-0.128574426869413,0.435712786565293,0.0108254382685722,0.000117190113706667,1,Power2
L_SUB_NA,Power2,f(x)=-0.01343*x^(0.6121),-0.0217287762673792,0.48913561186631,0.0103002602494987,0.000106095361207403,1,Power2
R_CA12_NA,Linear,f(x)=-0.00625*x + 0.02843,-0.491134314992588,0.254432842503706,0.0151308927811858,0.000228943916355741,1,Power2
R_CA12_NA,Power2,f(x)=0.02696*x^(-1.172),0.0673830923371032,0.533691546168552,0.0119662428892268,0.00014319096888397,1,Power2
R_DGCA3_NA,Linear,f(x)=-0.01723*x + 0.06079,0.741265421211561,0.87063271060578,0.00939337130700668,8.82354245112963e-05,1,Linear
R_DGCA3_NA,Power2,f(x)=0.042*x^(-0.8983),0.28272816335355,0.641364081676775,0.0156399781511824,0.000244608916569464,1,Linear
R_HEADCA1_NA,Linear,f(x)=0.001347*x + -0.01393,-0.907336658882956,0.0463316705585219,0.00864384105399137,7.47159881666666e-05,1,Power2
R_HEADCA1_NA,Power2,f(x)=-0.01435*x^(-0.4514),-0.656443717947341,0.171778141026329,0.00805529475329249,6.48877735624215e-05,1,Power2
R_HEADDGCA23_NA,Linear,f(x)=0.03031*x + -0.1043,0.505762871364047,0.752881435682024,0.0245613330329666,0.000603259080356296,1,Power2
R_HEADDGCA23_NA,Power2,f(x)=-0.0832*x^(-1.48),0.927496693350969,0.963748346675484,0.00940726020629962,8.84965445890284e-05,1,Power2
R_HEADSUB_NA,Linear,f(x)=-0.001713*x + -0.009567,0.460720828756337,0.730360414378168,0.00147184395333302,2.16632462296296e-06,1,Linear
R_HEADSUB_NA,Power2,f(x)=-0.01126*x^(0.2297),0.242419100492155,0.621209550246078,0.00174449389086528,3.04325893526628e-06,1,Linear
R_SUB_NA,Linear,f(x)=0.002727*x + 0.01464,-0.89877129852585,0.0506143507370752,0.0167040503519356,0.00027902529816,1,Linear
R_SUB_NA,Power2,f(x)=0.01841*x^(0.1409),-0.983012786467694,0.00849360676615285,0.0170705776933177,0.000291404622783594,1,Linear
