ROI,x,mean_delta,sem_delta,n,Cond
L_CA12_NA,1,-0.0050673,0.0136212479699114,30,ExactRepeat
L_CA12_NA,2,0.00314746666666667,0.0147875284992668,30,CloseRepeat
L_CA12_NA,3,-0.0101341,0.0133421424204893,30,DistantRepeat
L_DGCA3_NA,1,-0.0248797666666667,0.0183857038044014,30,ExactRepeat
L_DGCA3_NA,2,-0.0217509,0.022627793944837,30,CloseRepeat
L_DGCA3_NA,3,-0.00627566666666667,0.0151792228575572,30,DistantRepeat
L_HEADCA1_NA,1,-0.0255981666666667,0.0155154183605741,30,ExactRepeat
L_HEADCA1_NA,2,-0.0216708,0.0196879581585164,30,CloseRepeat
L_HEADCA1_NA,3,0.0124568,0.0183661996144842,30,DistantRepeat
L_HEADDGCA23_NA,1,-0.0835603333333333,0.0184454681692381,30,ExactRepeat
L_HEADDGCA23_NA,2,-0.0681851333333333,0.0242036527529543,30,CloseRepeat
L_HEADDGCA23_NA,3,-0.0333753666666667,0.0210908601082213,30,DistantRepeat
L_HEADSUB_NA,1,-0.0348945,0.0204979054284443,30,ExactRepeat
L_HEADSUB_NA,2,-0.0406694,0.0269498404200423,30,CloseRepeat
L_HEADSUB_NA,3,0.0237385666666667,0.0242526365597727,30,DistantRepeat
L_SUB_NA,1,-0.00878403333333333,0.019144248393341,30,ExactRepeat
L_SUB_NA,2,-0.0287688,0.0224775334769591,30,CloseRepeat
L_SUB_NA,3,-0.0222367666666667,0.0217957402014249,30,DistantRepeat
R_CA12_NA,1,0.0283578666666667,0.0139043135653482,30,ExactRepeat
R_CA12_NA,2,0.0035762,0.0152920949846419,30,CloseRepeat
R_CA12_NA,3,0.0158575,0.0143953472562947,30,DistantRepeat
R_DGCA3_NA,1,0.0397247333333333,0.0185582380337436,30,ExactRepeat
R_DGCA3_NA,2,0.0339981666666667,0.0227684363275169,30,CloseRepeat
R_DGCA3_NA,3,0.00526263333333334,0.0200164918468243,30,DistantRepeat
R_HEADCA1_NA,1,-0.0161163,0.0175801180765816,30,ExactRepeat
R_HEADCA1_NA,2,-0.0041826,0.0188971963137027,30,CloseRepeat
R_HEADCA1_NA,3,-0.0134219,0.0141641667813536,30,DistantRepeat
R_HEADDGCA23_NA,1,-0.0840279666666667,0.0205727067477726,30,ExactRepeat
R_HEADDGCA23_NA,2,-0.0236323,0.0227055188451097,30,CloseRepeat
R_HEADDGCA23_NA,3,-0.0233993666666667,0.0186179491582956,30,DistantRepeat
R_HEADSUB_NA,1,-0.0118806,0.0259022654165504,30,ExactRepeat
R_HEADSUB_NA,2,-0.0117908333333333,0.0285088647506404,30,CloseRepeat
R_HEADSUB_NA,3,-0.0153063333333333,0.0295193497583329,30,DistantRepeat
R_SUB_NA,1,0.0241838,0.0184853294239936,30,ExactRepeat
R_SUB_NA,2,0.00645283333333334,0.0217325514708852,30,CloseRepeat
R_SUB_NA,3,0.0296382666666667,0.0246660882529232,30,DistantRepeat
