"Subj","ROI","Cond","Beta"
"sub-012421","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.1432
"sub-012421","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1812
"sub-012421","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.1791
"sub-012421","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.1181
"sub-012421","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1754
"sub-012421","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1016
"sub-012421","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.4952
"sub-012421","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1406
"sub-030989","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.07371
"sub-030989","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.08826
"sub-030989","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.009274
"sub-030989","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.1812
"sub-030989","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.2962
"sub-030989","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.000623
"sub-030989","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.3186
"sub-030989","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.08929
"sub-044413","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.4623
"sub-044413","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.3564
"sub-044413","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.1069
"sub-044413","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.01252
"sub-044413","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.2641
"sub-044413","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.01918
"sub-044413","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.2272
"sub-044413","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.069
"sub-105662","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.00569
"sub-105662","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.09252
"sub-105662","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.1429
"sub-105662","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.2321
"sub-105662","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1255
"sub-105662","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.02364
"sub-105662","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.1272
"sub-105662","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1264
"sub-124846","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.04491
"sub-124846","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1664
"sub-124846","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.1513
"sub-124846","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.2415
"sub-124846","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1645
"sub-124846","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1603
"sub-124846","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.01992
"sub-124846","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.128
"sub-173888","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.005789
"sub-173888","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.02216
"sub-173888","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.172
"sub-173888","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.1836
"sub-173888","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.0902
"sub-173888","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.2154
"sub-173888","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.2178
"sub-173888","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.03029
"sub-184188","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.3358
"sub-184188","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1914
"sub-184188","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.1085
"sub-184188","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.09036
"sub-184188","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.07173
"sub-184188","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.3591
"sub-184188","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.1121
"sub-184188","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.03039
"sub-193800","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.08433
"sub-193800","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.2656
"sub-193800","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.4401
"sub-193800","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.08289
"sub-193800","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.08822
"sub-193800","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.004858
"sub-193800","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.005745
"sub-193800","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1626
"sub-198656","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",-0.01461
"sub-198656","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1731
"sub-198656","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.2188
"sub-198656","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.08669
"sub-198656","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1928
"sub-198656","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.008818
"sub-198656","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.3006
"sub-198656","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.1363
"sub-222070","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.6052
"sub-222070","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.01157
"sub-222070","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.6875
"sub-222070","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.1617
"sub-222070","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1827
"sub-222070","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.002912
"sub-222070","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.3115
"sub-222070","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.2647
"sub-268070","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.1097
"sub-268070","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.06962
"sub-268070","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.09763
"sub-268070","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.1151
"sub-268070","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.1729
"sub-268070","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.2104
"sub-268070","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.2665
"sub-268070","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.09352
"sub-369463","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.3039
"sub-369463","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1499
"sub-369463","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.09363
"sub-369463","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.05768
"sub-369463","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1488
"sub-369463","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",-0.1087
"sub-369463","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.3449
"sub-369463","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.07331
"sub-380590","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.01832
"sub-380590","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",-0.02938
"sub-380590","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.2236
