"Subj","ROI","Cond","Beta"
"sub-012421","L_CA12_NA","AllFirst",0.06677
"sub-012421","R_CA12_NA","AllFirst",0.05713
"sub-012421","L_DGCA3_NA","AllFirst",0.1977
"sub-012421","R_DGCA3_NA","AllFirst",0.1529
"sub-012421","L_HEADCA1_NA","AllFirst",-0.002146
"sub-012421","R_HEADCA1_NA","AllFirst",-0.02484
"sub-012421","L_HEADDGCA23_NA","AllFirst",-0.03283
"sub-012421","R_HEADDGCA23_NA","AllFirst",0.0832
"sub-012421","L_HEADSUB_NA","AllFirst",-0.03468
"sub-012421","R_HEADSUB_NA","AllFirst",-0.03489
"sub-012421","L_SUB_NA","AllFirst",0.06321
"sub-012421","R_SUB_NA","AllFirst",0.01723
"sub-012421","L_CA12_NA","CloseRepeat",-0.005118
"sub-012421","R_CA12_NA","CloseRepeat",-0.008795
"sub-012421","L_DGCA3_NA","CloseRepeat",0.2412
"sub-012421","R_DGCA3_NA","CloseRepeat",0.1125
"sub-012421","L_HEADCA1_NA","CloseRepeat",-0.003397
"sub-012421","R_HEADCA1_NA","CloseRepeat",-0.06792
"sub-012421","L_HEADDGCA23_NA","CloseRepeat",-0.03704
"sub-012421","R_HEADDGCA23_NA","CloseRepeat",0.0608
"sub-012421","L_HEADSUB_NA","CloseRepeat",-0.1304
"sub-012421","R_HEADSUB_NA","CloseRepeat",-0.07962
"sub-012421","L_SUB_NA","CloseRepeat",0.1639
"sub-012421","R_SUB_NA","CloseRepeat",0.06816
"sub-012421","L_CA12_NA","DistantRepeat",0.1278
"sub-012421","R_CA12_NA","DistantRepeat",0.09349
"sub-012421","L_DGCA3_NA","DistantRepeat",0.2136
"sub-012421","R_DGCA3_NA","DistantRepeat",0.1277
"sub-012421","L_HEADCA1_NA","DistantRepeat",0.01273
"sub-012421","R_HEADCA1_NA","DistantRepeat",0.006374
"sub-012421","L_HEADDGCA23_NA","DistantRepeat",0.04972
"sub-012421","R_HEADDGCA23_NA","DistantRepeat",0.1158
"sub-012421","L_HEADSUB_NA","DistantRepeat",0.1428
"sub-012421","R_HEADSUB_NA","DistantRepeat",0.1333
"sub-012421","L_SUB_NA","DistantRepeat",0.1384
"sub-012421","R_SUB_NA","DistantRepeat",0.001598
"sub-012421","L_CA12_NA","ExactRepeat",-0.0467
"sub-012421","R_CA12_NA","ExactRepeat",0.08716
"sub-012421","L_DGCA3_NA","ExactRepeat",0.1057
"sub-012421","R_DGCA3_NA","ExactRepeat",0.1535
"sub-012421","L_HEADCA1_NA","ExactRepeat",0.08068
"sub-012421","R_HEADCA1_NA","ExactRepeat",-0.08383
"sub-012421","L_HEADDGCA23_NA","ExactRepeat",-0.1491
"sub-012421","R_HEADDGCA23_NA","ExactRepeat",-0.1232
"sub-012421","L_HEADSUB_NA","ExactRepeat",0.003019
"sub-012421","R_HEADSUB_NA","ExactRepeat",-0.03738
"sub-012421","L_SUB_NA","ExactRepeat",0.1229
"sub-012421","R_SUB_NA","ExactRepeat",0.07849
"sub-030989","L_CA12_NA","AllFirst",0.07762
"sub-030989","R_CA12_NA","AllFirst",-0.03028
"sub-030989","L_DGCA3_NA","AllFirst",0.06796
"sub-030989","R_DGCA3_NA","AllFirst",0.08445
"sub-030989","L_HEADCA1_NA","AllFirst",0.03704
"sub-030989","R_HEADCA1_NA","AllFirst",0.02134
"sub-030989","L_HEADDGCA23_NA","AllFirst",0.01127
"sub-030989","R_HEADDGCA23_NA","AllFirst",0.02037
"sub-030989","L_HEADSUB_NA","AllFirst",-0.1034
"sub-030989","R_HEADSUB_NA","AllFirst",-0.1416
"sub-030989","L_SUB_NA","AllFirst",0.03143
"sub-030989","R_SUB_NA","AllFirst",0.1055
"sub-030989","L_CA12_NA","CloseRepeat",0.09224
"sub-030989","R_CA12_NA","CloseRepeat",-0.02586
"sub-030989","L_DGCA3_NA","CloseRepeat",0.03618
"sub-030989","R_DGCA3_NA","CloseRepeat",0.1165
"sub-030989","L_HEADCA1_NA","CloseRepeat",0.0179
"sub-030989","R_HEADCA1_NA","CloseRepeat",0.0185
"sub-030989","L_HEADDGCA23_NA","CloseRepeat",-0.02589
"sub-030989","R_HEADDGCA23_NA","CloseRepeat",0.1932
"sub-030989","L_HEADSUB_NA","CloseRepeat",-0.002089
"sub-030989","R_HEADSUB_NA","CloseRepeat",-0.1219
"sub-030989","L_SUB_NA","CloseRepeat",-0.01082
"sub-030989","R_SUB_NA","CloseRepeat",0.07659
"sub-030989","L_CA12_NA","DistantRepeat",-0.0174
"sub-030989","R_CA12_NA","DistantRepeat",-0.1559
"sub-030989","L_DGCA3_NA","DistantRepeat",-0.004075
"sub-030989","R_DGCA3_NA","DistantRepeat",0.009242
"sub-030989","L_HEADCA1_NA","DistantRepeat",-0.05262
"sub-030989","R_HEADCA1_NA","DistantRepeat",-0.1066
"sub-030989","L_HEADDGCA23_NA","DistantRepeat",-0.3606
"sub-030989","R_HEADDGCA23_NA","DistantRepeat",-0.02237
"sub-030989","L_HEADSUB_NA","DistantRepeat",-0.1177
"sub-030989","R_HEADSUB_NA","DistantRepeat",-0.1721
"sub-030989","L_SUB_NA","DistantRepeat",-0.1773
"sub-030989","R_SUB_NA","DistantRepeat",-0.04972
"sub-030989","L_CA12_NA","ExactRepeat",0.006188
"sub-030989","R_CA12_NA","ExactRepeat",0.01564
"sub-030989","L_DGCA3_NA","ExactRepeat",0.0424
"sub-030989","R_DGCA3_NA","ExactRepeat",0.1055
"sub-030989","L_HEADCA1_NA","ExactRepeat",-0.03011
"sub-030989","R_HEADCA1_NA","ExactRepeat",0.04187
"sub-030989","L_HEADDGCA23_NA","ExactRepeat",-0.1844
"sub-030989","R_HEADDGCA23_NA","ExactRepeat",0.05661
"sub-030989","L_HEADSUB_NA","ExactRepeat",-0.05602
"sub-030989","R_HEADSUB_NA","ExactRepeat",-0.05651
"sub-030989","L_SUB_NA","ExactRepeat",0.04718
"sub-030989","R_SUB_NA","ExactRepeat",0.04357
"sub-044413","L_CA12_NA","AllFirst",0.1519
"sub-044413","R_CA12_NA","AllFirst",0.1292
"sub-044413","L_DGCA3_NA","AllFirst",0.2495
"sub-044413","R_DGCA3_NA","AllFirst",0.1056
"sub-044413","L_HEADCA1_NA","AllFirst",0.1944
"sub-044413","R_HEADCA1_NA","AllFirst",0.189
"sub-044413","L_HEADDGCA23_NA","AllFirst",0.3831
"sub-044413","R_HEADDGCA23_NA","AllFirst",0.2419
"sub-044413","L_HEADSUB_NA","AllFirst",0.1108
"sub-044413","R_HEADSUB_NA","AllFirst",0.2005
"sub-044413","L_SUB_NA","AllFirst",0.265
"sub-044413","R_SUB_NA","AllFirst",0.08417
"sub-044413","L_CA12_NA","CloseRepeat",0.1007
"sub-044413","R_CA12_NA","CloseRepeat",0.04647
"sub-044413","L_DGCA3_NA","CloseRepeat",0.1963
"sub-044413","R_DGCA3_NA","CloseRepeat",0.03918
"sub-044413","L_HEADCA1_NA","CloseRepeat",-0.0743
"sub-044413","R_HEADCA1_NA","CloseRepeat",-0.1169
